Date, New, Incomplete, Confirmed, Triaged, In Progress, Fix Commited, Fix Released
17/08/14, 15, 15, 112, 9, 43, 40, 27
18/08/14, 15, 15, 116, 9, 43, 40, 27
19/08/14, 13, 14, 116, 9, 45, 41, 28
20/08/14, 13, 14, 115, 9, 45, 42, 28
21/08/14, 13, 14, 113, 10, 46, 43, 28
22/08/14, 12, 14, 113, 10, 47, 43, 28
23/08/14, 12, 14, 112, 10, 48, 43, 28
24/08/14, 12, 14, 109, 10, 51, 44, 29
